Time,Position-x,Position-y,Position-z,Orientation-x,Orientation-y,Orientation-w,Orientation-z
323.09,-3.901192337614597,4.50357163152894,0.0,0.0,0.0,0.4553061677243735,0.8903349333998665
323.297,-3.931463311946956,4.545907352483609,0.0,0.0,0.0,0.4604254701113793,0.8876983645770197
323.499,-3.9598825025331346,4.587213557963903,0.0,0.0,0.0,0.4680118228790431,0.8837222038884365
323.591,-3.9725154411428165,4.605877953242881,0.0,0.0,0.0,0.4697520695034242,0.8827983876272374
323.796,-4.000206898377208,4.6482175300114115,0.0,0.0,0.0,0.4809963421283886,0.8767226008602209
323.891,-4.012995280346148,4.668348951306997,0.0,0.0,0.0,0.48184338105829544,0.8762573572474643
323.992,-4.026578224034018,4.689845929494841,0.0,0.0,0.0,0.4836162479113414,0.8752801407299013
324.193,-4.053133967342623,4.73276147532249,0.0,0.0,0.0,0.48974084688447084,0.8718680536026545
324.296,-4.066557041475222,4.754856385769156,0.0,0.0,0.0,0.4906059527624065,0.8713815462322412
324.495,-4.092306549378751,4.797715909085313,0.0,0.0,0.0,0.4955959777013092,0.8685531802292151
324.597,-4.105205881222816,4.81968669959944,0.0,0.0,0.0,0.49819156866065134,0.8670669875594615
324.699,-4.117893088015852,4.841519892341629,0.0,0.0,0.0,0.49911184957147026,0.8665375708054129
324.793,-4.129485511540308,4.861576759901386,0.0,0.0,0.0,0.5006794040405711,0.8656327941856053
324.996,-4.154122868501538,4.90480508362013,0.0,0.0,0.0,0.5045921431584144,0.8633578453125901
325.094,-4.165990384986805,4.9258595335121695,0.0,0.0,0.0,0.5043353893990415,0.8635078546253746
325.295,-4.190471607542108,4.9693696005723895,0.0,0.0,0.0,0.5059986164543876,0.8625342892582565
325.396,-4.2025926781755105,4.991149334133741,0.0,0.0,0.0,0.5080073804491314,0.8613527160282317
325.59,-4.225860395021399,5.033006947292661,0.0,0.0,0.0,0.5050718121696518,0.8630773224640211
325.692,-4.238185377025082,5.054917271780597,0.0,0.0,0.0,0.5049486086349457,0.8631494092204619
325.894,-4.262833061233881,5.0988970160528755,0.0,0.0,0.0,0.5052326061534915,0.8629832059080588
325.996,-4.27543187507896,5.121238230860403,0.0,0.0,0.0,0.5045403890222059,0.8633880910953783
326.197,-4.300530782896676,5.165289799824495,0.0,0.0,0.0,0.49949539059590814,0.8663165442108567
326.299,-4.3133899524567,5.187454435023736,0.0,0.0,0.0,0.49873640565721317,0.8667537122344061
326.39,-4.3249304974647815,5.207173552518388,0.0,0.0,0.0,0.49578729880948214,0.8684439845719454
326.595,-4.351615013316397,5.2509656919443115,0.0,0.0,0.0,0.4822583451066776,0.8760290455087484
326.696,-4.3650884529351455,5.272139019524821,0.0,0.0,0.0,0.4794471950641148,0.8775707305654358
326.791,-4.37798187598166,5.291896631800815,0.0,0.0,0.0,0.4715951365755282,0.8818151887772794
326.996,-4.407200557342537,5.334081872071071,0.0,0.0,0.0,0.45595323600509213,0.8900037340238999
327.189,-4.435332123827028,5.371956240359486,0.0,0.0,0.0,0.44175578245079766,0.897135345793088
327.295,-4.450194321429035,5.3909400724545,0.0,0.0,0.0,0.4325355086754952,0.9016168996501954
327.498,-4.479637223033999,5.425677952731143,0.0,0.0,0.0,0.4097826916932196,0.9121831754580105
327.6,-4.4959145619736915,5.443552714802294,0.0,0.0,0.0,0.3972545056350706,0.9177084819007808
327.691,-4.511556142817433,5.4598616415147365,0.0,0.0,0.0,0.3862018384940106,0.9224142995118008
327.895,-4.54793382193478,5.494917097954369,0.0,0.0,0.0,0.36083495722146003,0.9326296873073402
327.997,-4.566577329838239,5.5114817343124605,0.0,0.0,0.0,0.3484249724809532,0.9373366730005004
328.099,-4.585683749753776,5.527564495669824,0.0,0.0,0.0,0.335904751820654,0.9418959590657053
328.297,-4.624189750683067,5.557573837389406,0.0,0.0,0.0,0.3115257986700672,0.9502376948758541
328.399,-4.644659547307137,5.572227017198642,0.0,0.0,0.0,0.2988159518489256,0.9543107601408571
328.595,-4.68473185480303,5.598754886736632,0.0,0.0,0.0,0.2763776796416357,0.9610491029057284
328.697,-4.70580968820938,5.611631691457791,0.0,0.0,0.0,0.26409615055351054,0.9644963573092526
328.89,-4.74626100320301,5.634787712073114,0.0,0.0,0.0,0.2509165081727438,0.9680087323606112
328.993,-4.768305258304131,5.646861212668391,0.0,0.0,0.0,0.24401147069984713,0.9697723455362591
329.093,-4.7901029843480005,5.658389852167479,0.0,0.0,0.0,0.2370481012994376,0.971497914393197
329.391,-4.855881161297987,5.690880583943945,0.0,0.0,0.0,0.21713425048444357,0.9761417506010891
329.493,-4.878687659614217,5.701375465263328,0.0,0.0,0.0,0.21012399989533648,0.9776747438018355
329.596,-4.901747927060604,5.7115569806611175,0.0,0.0,0.0,0.20060469600921338,0.9796722696591198
329.697,-4.924544276893564,5.721011132548859,0.0,0.0,0.0,0.1889391410090985,0.9819887988132777
329.799,-4.947521986734341,5.729890386227331,0.0,0.0,0.0,0.1772022233188696,0.9841744622021288
329.896,-4.969556577367754,5.737937992335937,0.0,0.0,0.0,0.170564787574063,0.985346463554731
330.096,-5.015696358513901,5.753758881967353,0.0,0.0,0.0,0.1577190108629839,0.9874840320797101
330.195,-5.039088547613601,5.7611515198420475,0.0,0.0,0.0,0.14543378849533925,0.9893679867288475
330.297,-5.063437012903577,5.768168509758779,0.0,0.0,0.0,0.13317970302292717,0.9910919062845408
330.39,-5.085543415642177,5.77398420075972,0.0,0.0,0.0,0.12272122639922885,0.9924411824340369
